,Name,Classification,Released_games,Unreleased_games,Total_revenue,Avg_revenue_per_game,Med_revenue_per_game,%_developed_in_house,%_indie_releases,Action,Casual,Adventure,Simaulation,Strategy,RPG,MMO,Racing,Sports
244,CITY CONNECTION ,Indie,25,0,316000,12645,9319,1,0,0.96,0,0.04,0,0,0,0,0,0
245,Paradise Project ,Indie,25,0,6600000,264000,1800000,0,0.96,0.12,0.12,0.72,0.08,0.04,0.76,0,0,0
246,Boomzap Inc ,Indie,24,1,55177,2299,798,0.56,0.04,0.04,0.96,0.28,0,0.08,0,0.04,0,0
247,Alternative Software Ltd. ,Indie,24,0,792000,32982,22346,0.67,0.25,0.42,0.33,0.17,0.5,0.42,0,0,0,0.5
248,Rockstar Games ,AAA,24,0,1300000000,55300000,6800000,0.38,0,0.88,0,0.42,0,0.04,0,0,0.04,0
249,Far East Studio ,Indie,24,4,133000,5560,1920,0,0.14,0.04,0.32,0.89,0.36,0.04,0,0,0,0.04
250,SeedWall ,Indie,24,1,100000,4180,950,1,0.96,0.84,0.4,0.52,0,0,0.16,0,0,0
251,PaulArt ,Indie,24,0,47379,1974,581,1,0.96,0.33,0.08,0.17,0.71,0.29,0.46,0,0,0
252,Degica ,Indie,24,0,29600000,1200000,274000,0.17,0.08,0.08,0.04,0.21,0.08,0,0.08,0,0,0
253,Metal Fox ,Indie,24,0,21904,913,811,0.13,1,0.21,0.25,0.46,0.08,0.13,0.04,0.04,0,0
254,PlayMeow ,Indie,24,35,2100000,87435,66719,0,0.17,0.1,0.75,0.15,0.64,0.14,0.78,0,0,0
255,Slippy Floor ,Indie,24,1,53025,2209,1394,0.96,0.92,0.36,0.6,0.2,0.6,0.04,0.28,0,0,0.08
256,Randumb Studios ,Indie,24,3,1500000,64360,8826,1,0.59,0.04,0.59,0.63,1,0,0.81,0,0,0
257,Lovely Games ,Indie,24,3,882000,36751,20065,0.7,0.7,0.37,0.93,0.15,0.11,0.44,0.07,0,0,0
258,DLsite ,Indie,24,3,1100000,47499,8353,0,0.96,0.44,0.33,0.15,0.07,0,0.33,0,0.04,0
